#EventID|Time|Latitude|Longitude|Depth/Km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName
8681921|2016-10-26T23:44:41.780000|42.918|13.0458|10.4|SURVEY-INGV||||ML|2.1|--|Macerata
8682021|2016-10-26T23:47:11.070000|42.908|13.0155|10.2|SURVEY-INGV||||ML|2.1|--|Perugia
8682161|2016-10-26T23:50:11.920000|43.0237|13.0937|9.1|SURVEY-INGV||||ML|2.1|--|Macerata
8682271|2016-10-26T23:52:30.210000|42.8412|13.174|7.8|SURVEY-INGV||||ML|3.5|--|Macerata
8682301|2016-10-26T23:54:36.430000|42.8715|13.0553|9.9|SURVEY-INGV||||ML|2.5|--|Perugia
8682431|2016-10-26T23:58:20.820000|42.8883|13.0798|5.7|SURVEY-INGV||||ML|2.3|--|Perugia
8682621|2016-10-27T00:02:23.830000|42.872|13.0195|10.7|SURVEY-INGV||||ML|2.5|--|Perugia
8682721|2016-10-27T00:04:43.040000|42.9448|13.1437|8.2|SURVEY-INGV||||ML|2.3|--|Macerata
8682771|2016-10-27T00:05:40.910000|43.611|11.007|9.3|SURVEY-INGV||||ML|2.8|--|Firenze
8682821|2016-10-27T00:06:04.450000|42.8918|13.1477|8.3|SURVEY-INGV||||ML|2.7|--|Macerata
8683071|2016-10-27T00:10:16.600000|42.8755|13.087|10.1|SURVEY-INGV||||ML|2.2|--|Perugia
8683241|2016-10-27T00:13:19.950000|42.8368|13.172|6.4|SURVEY-INGV||||ML|3.1|--|Macerata
8683351|2016-10-27T00:16:31.220000|42.8767|13.1533|8.1|SURVEY-INGV||||ML|2.3|--|Macerata
8683421|2016-10-27T00:17:55.410000|42.8928|13.0498|10.1|SURVEY-INGV||||ML|2.7|--|Perugia
8683471|2016-10-27T00:18:21.680000|42.8908|13.0458|10.2|SURVEY-INGV||||ML|2.6|--|Perugia
8683561|2016-10-27T00:21:29.980000|42.9918|13.118|8.5|SURVEY-INGV||||ML|3.5|--|Macerata
8683681|2016-10-27T00:24:19.150000|42.8503|13.1675|6.2|SURVEY-INGV||||ML|2.3|--|Macerata
8683731|2016-10-27T00:25:50.860000|42.9127|13.039|10.8|SURVEY-INGV||||ML|2.1|--|Perugia
8684111|2016-10-27T00:32:13.500000|42.8665|13.099|9.4|SURVEY-INGV||||ML|2.6|--|Perugia
8684591|2016-10-27T00:41:02.720000|42.9508|13.1372|10.3|SURVEY-INGV||||ML|2.6|--|Macerata
8684851|2016-10-27T00:45:57.030000|42.8575|13.1648|8.2|SURVEY-INGV||||ML|2.4|--|Macerata
8684961|2016-10-27T00:47:44.280000|43.0243|13.1195|11.0|SURVEY-INGV||||ML|2.5|--|Macerata
8685481|2016-10-27T00:56:45.250000|42.8853|13.0653|9.6|SURVEY-INGV||||ML|2.3|--|Perugia
8685621|2016-10-27T00:58:31.430000|43.0002|13.1058|9.2|SURVEY-INGV||||ML|3.4|--|Macerata
8685651|2016-10-27T00:59:34.320000|42.892|13.0588|10.0|SURVEY-INGV||||ML|3.1|--|Perugia
8685721|2016-10-27T01:00:47.430000|42.9627|13.0598|9.6|SURVEY-INGV||||ML|2.7|--|Macerata
8686081|2016-10-27T01:07:39.920000|42.906|13.0568|10.8|SURVEY-INGV||||ML|2.4|--|Perugia
8686461|2016-10-27T01:13:39.830000|43.0083|13.1077|9.9|SURVEY-INGV||||ML|3.1|--|Macerata
8687061|2016-10-27T01:26:19.140000|42.9338|13.1643|8.5|SURVEY-INGV||||ML|2.8|--|Macerata
8687231|2016-10-27T01:29:03.610000|42.9693|13.1322|8.7|SURVEY-INGV||||ML|2.6|--|Macerata
8687501|2016-10-27T01:33:54.610000|42.9003|13.0688|9.4|SURVEY-INGV||||ML|2.5|--|Perugia
8687711|2016-10-27T01:37:05.180000|42.842|13.1648|8.3|SURVEY-INGV||||ML|3.5|--|Macerata
8687941|2016-10-27T01:40:26.210000|42.8607|13.1323|7.2|SURVEY-INGV||||ML|2.7|--|Macerata
8688081|2016-10-27T01:43:03.950000|42.8798|13.1507|7.2|SURVEY-INGV||||ML|2.2|--|Macerata
8688211|2016-10-27T01:47:20.360000|42.8562|13.1708|8.4|SURVEY-INGV||||ML|2.1|--|Macerata
8688411|2016-10-27T01:50:07.040000|42.9907|13.0708|9.7|SURVEY-INGV||||ML|2.2|--|Macerata
8688621|2016-10-27T01:54:23.360000|42.8835|13.0895|10.6|SURVEY-INGV||||ML|2.4|--|Perugia
8688781|2016-10-27T01:57:19.550000|42.8068|13.143|9.9|SURVEY-INGV||||ML|2.6|--|Perugia
8689111|2016-10-27T02:03:50.450000|42.8823|13.0892|10.0|SURVEY-INGV||||ML|2.7|--|Perugia
8689201|2016-10-27T02:06:59.460000|42.8437|13.1015|10.0|SURVEY-INGV||||ML|2.3|--|Perugia
8689381|2016-10-27T02:12:01.630000|42.8348|13.1382|9.4|SURVEY-INGV||||ML|2.2|--|Perugia
8689511|2016-10-27T02:16:04.400000|43.0178|13.0808|9.7|SURVEY-INGV||||ML|2.5|--|Macerata
8689671|2016-10-27T02:18:36.160000|43.0332|13.1008|8.8|SURVEY-INGV||||ML|2.5|--|Macerata
8689761|2016-10-27T02:20:58.980000|42.9588|13.0728|9.3|SURVEY-INGV||||ML|2.9|--|Macerata
8689861|2016-10-27T02:22:53.440000|43.037|13.1167|10.3|SURVEY-INGV||||ML|2.9|--|Macerata
8690761|2016-10-27T02:39:10.660000|42.8913|13.0655|9.9|SURVEY-INGV||||ML|2.8|--|Perugia
8690931|2016-10-27T02:42:11.230000|42.8562|13.0762|10.5|SURVEY-INGV||||ML|2.7|--|Perugia
8690991|2016-10-27T02:43:03.480000|42.8918|13.0575|10.3|SURVEY-INGV||||ML|2.7|--|Perugia
8691091|2016-10-27T02:44:45.570000|42.9083|13.049|10.7|SURVEY-INGV||||ML|3.6|--|Perugia
8691141|2016-10-27T02:45:39.030000|42.8635|13.1268|8.3|SURVEY-INGV||||ML|2.3|--|Macerata
8691351|2016-10-27T02:49:53.530000|42.8992|13.0578|12.1|SURVEY-INGV||||ML|2.5|--|Perugia
8691941|2016-10-27T03:01:18.710000|42.8622|13.1618|6.6|SURVEY-INGV||||ML|2.2|--|Macerata
8692471|2016-10-27T03:12:40.880000|42.9992|13.1467|9.9|SURVEY-INGV||||ML|3.1|--|Macerata
8692671|2016-10-27T03:16:27.010000|42.8435|13.0967|8.2|SURVEY-INGV||||ML|2.4|--|Perugia
8692821|2016-10-27T03:19:27.080000|42.8442|13.1503|9.0|SURVEY-INGV||||Mw|4.0|--|Macerata
8693001|2016-10-27T03:23:09.360000|42.956|13.0602|9.7|SURVEY-INGV||||ML|2.5|--|Macerata
8693161|2016-10-27T03:26:48.930000|42.8767|13.0538|10.5|SURVEY-INGV||||ML|2.4|--|Perugia
8693321|2016-10-27T03:32:03.050000|42.9752|13.1407|9.9|SURVEY-INGV||||ML|2.4|--|Macerata
8693931|2016-10-27T03:44:00.670000|42.8928|13.1438|9.5|SURVEY-INGV||||ML|2.6|--|Macerata
8694191|2016-10-27T03:50:24.030000|42.9862|13.1268|8.9|SURVEY-INGV||||ML|4.4|--|Macerata
8694271|2016-10-27T03:52:51.420000|42.9477|13.0457|9.8|SURVEY-INGV||||ML|2.9|--|Macerata
